step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
326,TRANSFER,463895.09,C501423302,0.0,0.0,C1469323429,497682.41,961577.5,0
546,CASH_IN,121529.82,C1844113840,6061465.8,6182995.62,C2050884399,732935.35,611405.53,0
329,CASH_OUT,83047.52,C137894361,0.0,0.0,C1069437373,1362640.54,1445688.05,0
408,TRANSFER,522171.96,C432212711,31809.0,0.0,C2039613013,484573.73,1006745.69,0
573,TRANSFER,438139.79,C653094177,438139.79,0.0,C1710300918,0.0,0.0,1
330,PAYMENT,54560.72,C1249971802,0.0,0.0,M921761588,0.0,0.0,0
355,PAYMENT,6264.54,C1635004516,31269.47,25004.93,M1329549971,0.0,0.0,0
311,PAYMENT,8123.46,C1915145503,21323.0,13199.54,M1297325838,0.0,0.0,0
184,CASH_OUT,425010.43,C958585339,398348.0,0.0,C2119777942,0.0,425010.43,0
40,CASH_IN,151290.34,C815581201,849807.49,1001097.83,C670203527,5619131.13,5467840.79,0
132,PAYMENT,1230.18,C2007625429,51624.0,50393.82,M1256315417,0.0,0.0,0
120,PAYMENT,844.1,C1303755971,193.0,0.0,M1096138971,0.0,0.0,0
8,PAYMENT,21375.15,C1189518778,1194545.61,1173170.46,M545113637,0.0,0.0,0
327,CASH_OUT,158640.99,C262552569,56197.0,0.0,C1230138926,462272.98,620913.97,0
261,CASH_IN,34471.62,C107546677,21699.0,56170.62,C789331960,0.0,0.0,0
16,TRANSFER,958453.72,C1044279207,29102.0,0.0,C210705907,7379309.0,8360291.86,0
188,CASH_IN,102550.1,C314958518,191751.0,294301.1,C942108167,0.0,0.0,0
134,CASH_OUT,45447.85,C1827559636,0.0,0.0,C1328815034,496999.15,542447.0,0
307,CASH_IN,104009.79,C41339963,5124.0,109133.79,C1438471335,484059.61,380049.83,0
212,CASH_OUT,148190.99,C1164502097,0.0,0.0,C930083339,929543.85,1077734.84,0
51,CASH_OUT,567932.31,C1373739020,567932.31,0.0,C1576761892,0.0,567932.31,1
399,CASH_IN,256834.28,C424404364,11874103.48,12130937.76,C1050328036,1147040.93,890206.65,0
234,PAYMENT,5323.39,C933388443,254744.26,249420.88,M1474502565,0.0,0.0,0
307,CASH_IN,153945.07,C2082970828,26293.74,180238.82,C109626905,1827189.26,1673244.18,0
179,PAYMENT,17712.51,C2101568913,15660.0,0.0,M552543626,0.0,0.0,0
236,PAYMENT,15746.65,C423294197,34420.0,18673.35,M1375164396,0.0,0.0,0
302,PAYMENT,169.32,C78944580,0.0,0.0,M1032977377,0.0,0.0,0
283,TRANSFER,802986.9,C976414224,244285.4,0.0,C242828577,5148497.68,5951484.58,0
401,CASH_OUT,124223.55,C142915347,101060.0,0.0,C1506082591,0.0,124223.55,0
378,PAYMENT,5743.08,C418216186,0.0,0.0,M93269508,0.0,0.0,0
21,CASH_OUT,73228.67,C153300103,0.0,0.0,C579172988,110065.43,183294.1,0
249,PAYMENT,1771.82,C453112560,13294.0,11522.18,M2005002414,0.0,0.0,0
235,TRANSFER,235949.38,C519396430,0.0,0.0,C862805843,482156.59,718105.97,0
249,CASH_IN,184261.78,C379491423,784.0,185045.78,C1510448458,0.0,0.0,0
279,CASH_OUT,90822.94,C110505074,32273.0,0.0,C1411651431,0.0,90822.94,0
254,PAYMENT,13133.94,C1805516472,0.0,0.0,M2016240126,0.0,0.0,0
307,PAYMENT,31152.27,C1178655627,21769.0,0.0,M1109665773,0.0,0.0,0
283,CASH_OUT,122436.11,C792696529,11217.0,0.0,C639854493,316086.88,438522.99,0
210,CASH_OUT,27895.67,C1100467009,0.0,0.0,C428824799,370231.32,398126.99,0
163,CASH_OUT,91678.07,C1564613920,0.0,0.0,C1564185412,230548.85,322226.93,0
311,TRANSFER,598105.89,C233441525,46508.49,0.0,C2069185895,1843573.78,2441679.67,0
19,CASH_OUT,222192.3,C1631339409,0.0,0.0,C2073737888,910598.0,0.0,0
161,CASH_OUT,425454.87,C766596987,624940.68,199485.81,C1657161212,700881.04,1126335.92,0
424,CASH_OUT,5475018.52,C145448061,5475018.52,0.0,C1034609594,205724.59,5680743.11,1
214,CASH_OUT,80350.17,C602615513,0.0,0.0,C1577253667,86673.54,167023.72,0
187,CASH_IN,179728.27,C745572160,4770882.41,4950610.68,C127509847,3911487.45,3731759.18,0
187,TRANSFER,150072.92,C1196836770,0.0,0.0,C669020033,1100170.96,1250243.88,0
234,CASH_OUT,31658.55,C943954697,0.0,0.0,C1400157686,800127.63,831786.18,0
177,CASH_IN,106530.73,C551895519,2569058.22,2675588.95,C390829633,224770.29,118239.57,0
401,CASH_OUT,195304.76,C2009473050,0.0,0.0,C1341683707,1300023.58,1495328.35,0
180,TRANSFER,173309.11,C1060408548,173309.11,0.0,C1602479999,0.0,0.0,1
328,CASH_IN,322623.54,C2004595375,9978627.7,10301251.24,C928794251,385524.44,62900.9,0
297,PAYMENT,5838.78,C312811463,0.0,0.0,M1779435442,0.0,0.0,0
259,PAYMENT,5055.77,C304753710,561.0,0.0,M1757356319,0.0,0.0,0
404,PAYMENT,3066.26,C787390316,0.0,0.0,M142179863,0.0,0.0,0
41,CASH_IN,151069.95,C396109217,610501.28,761571.23,C1537842045,1310246.37,1159176.42,0
522,CASH_IN,276416.15,C1167673471,31798.0,308214.15,C2076283689,0.0,0.0,0
322,CASH_OUT,356834.52,C1198899217,5061.0,0.0,C344474269,224420.56,581255.08,0
688,PAYMENT,13091.56,C245265959,0.0,0.0,M84548173,0.0,0.0,0
141,PAYMENT,9791.32,C1605929071,26592.0,16800.68,M138459424,0.0,0.0,0
84,CASH_OUT,4830219.15,C610088962,4830219.15,0.0,C1925322228,0.0,4830219.15,1
347,TRANSFER,428605.53,C1415043578,0.0,0.0,C1013995367,1370053.47,1798659.0,0
41,CASH_OUT,130407.01,C2087807032,22622.0,0.0,C402719203,262497.74,392904.75,0
43,CASH_OUT,124838.31,C1628653967,895.0,0.0,C715907650,4408402.38,4533240.69,0
11,PAYMENT,430.94,C1204887191,22053.0,21622.06,M586520447,0.0,0.0,0
407,CASH_OUT,42861.17,C746710195,0.0,0.0,C1616651021,312604.92,355466.09,0
300,CASH_OUT,73468.52,C915872933,0.0,0.0,C360538390,785061.81,858530.33,0
11,CASH_OUT,1169.53,C600843698,0.0,0.0,C1588901702,2166109.9,2167279.44,0
205,PAYMENT,944.39,C302709599,227617.51,226673.12,M1373204499,0.0,0.0,0
634,TRANSFER,114864.37,C386742886,114864.37,0.0,C758149808,0.0,0.0,1
182,CASH_OUT,117386.61,C923850065,0.0,0.0,C302027884,380228.53,497615.14,0
138,CASH_IN,46994.4,C883116172,21430116.22,21477110.62,C355602254,892228.07,845233.67,0
258,TRANSFER,1116649.64,C790795039,0.0,0.0,C1577718390,2320914.51,3325184.56,0
9,PAYMENT,2068.86,C1527029833,0.0,0.0,M687464759,0.0,0.0,0
10,CASH_IN,278991.74,C856458808,7784146.97,8063138.71,C483817115,13878741.87,13397563.63,0
155,PAYMENT,27108.19,C1030368507,0.0,0.0,M434570401,0.0,0.0,0
476,TRANSFER,1627347.71,C37523551,0.0,0.0,C928510865,11395881.22,13023228.93,0
17,PAYMENT,3841.5,C2128642807,0.0,0.0,M1914669922,0.0,0.0,0
184,PAYMENT,40050.41,C189105669,20322.0,0.0,M12916699,0.0,0.0,0
692,CASH_IN,121883.93,C1597062828,459683.15,581567.08,C2024713325,130664.59,8780.66,0
256,CASH_IN,145533.84,C1251609776,29849.0,175382.84,C1968032236,609535.55,702300.88,0
140,PAYMENT,12998.4,C1893662844,16354.0,3355.6,M1025694736,0.0,0.0,0
233,PAYMENT,7572.56,C1117271871,99098.79,91526.23,M1582794152,0.0,0.0,0
639,CASH_OUT,246250.77,C2080432617,246250.77,0.0,C1212610718,270734.08,516984.85,1
346,PAYMENT,8271.39,C912523914,6186.0,0.0,M660576023,0.0,0.0,0
402,PAYMENT,5383.3,C1138303416,0.0,0.0,M720520254,0.0,0.0,0
375,CASH_OUT,180224.43,C897543587,415143.0,234918.57,C1275870543,18790.92,199015.35,0
259,CASH_IN,195633.62,C684693497,49745.0,245378.62,C1301566931,0.0,0.0,0
305,CASH_OUT,542912.3,C1488104590,70632.0,0.0,C2114715227,46085.07,588997.37,0
19,CASH_OUT,138652.14,C2133971847,0.0,0.0,C1866848400,1802963.73,1941615.87,0
163,CASH_IN,222595.95,C358260796,387177.66,609773.62,C1462909110,696440.86,473844.91,0
163,CASH_IN,177444.64,C77110642,25812325.31,25989769.95,C1448542929,625085.0,447640.36,0
3,PAYMENT,372.28,C1273012861,36620.96,36248.68,M1597400455,0.0,0.0,0
43,TRANSFER,358477.26,C1675250304,0.0,0.0,C1104042317,398953.26,757430.52,0
22,CASH_IN,142151.71,C1718681149,20085215.62,20227367.33,C1688537809,206237.93,64086.21,0
135,CASH_IN,275811.26,C1819706184,10434.0,286245.26,C1319869164,6685480.01,6409668.75,0
186,CASH_OUT,28682.98,C1396811312,0.0,0.0,C2145459346,308017.31,336700.28,0
275,PAYMENT,36513.52,C335315610,0.0,0.0,M831748332,0.0,0.0,0
355,CASH_IN,252781.63,C1612913138,5116373.15,5369154.78,C2144335097,1213132.61,960350.98,0
262,PAYMENT,14940.37,C1839411124,20664.0,5723.63,M171917226,0.0,0.0,0
160,PAYMENT,19811.68,C600876558,42842.37,23030.68,M2112613770,0.0,0.0,0
35,CASH_OUT,9465988.82,C91276418,9465988.82,0.0,C1220805115,0.0,9465988.82,1
11,CASH_OUT,140763.08,C1906665203,0.0,0.0,C857100926,1305872.15,1446635.23,0
179,CASH_OUT,147302.64,C1636605424,149672.0,2369.36,C2100855919,2611700.46,3571784.25,0
376,CASH_IN,251383.74,C485271790,156.0,251539.74,C1497510444,0.0,0.0,0
299,CASH_OUT,117851.93,C1243753046,0.0,0.0,C2025650797,815197.32,933049.24,0
184,CASH_OUT,84225.13,C429387403,0.0,0.0,C618528588,366300.48,450525.61,0
379,CASH_OUT,95833.26,C2129163677,12324.0,0.0,C1536382011,0.0,95833.26,0
40,PAYMENT,3112.99,C390816089,0.0,0.0,M1379285091,0.0,0.0,0
250,TRANSFER,10000000.0,C395312314,31343002.08,21343002.08,C554878096,0.0,0.0,1
250,CASH_OUT,82626.25,C2113815036,8178.37,0.0,C2029631580,3181424.94,3264051.18,0
302,PAYMENT,21798.02,C447499994,301842.0,280043.98,M584336049,0.0,0.0,0
303,PAYMENT,6087.65,C615784981,49982.0,43894.35,M912285913,0.0,0.0,0
235,CASH_OUT,135521.6,C1395574598,0.0,0.0,C1398454805,7243818.06,7379339.66,0
395,CASH_OUT,51573.0,C1724562302,602447.0,550874.0,C1718681400,17325457.43,17377030.43,0
185,CASH_OUT,387932.01,C400000813,0.0,0.0,C734441161,976110.28,1364042.28,0
397,CASH_OUT,25378.77,C1575246856,0.0,0.0,C1165398731,5126122.32,5151501.09,0
298,CASH_OUT,217828.56,C1116762543,0.0,0.0,C638689429,700826.63,918655.19,0
137,PAYMENT,5763.62,C1522396198,80438.33,74674.72,M460273694,0.0,0.0,0
308,CASH_OUT,186599.68,C346381096,3072.0,0.0,C109668445,3759246.84,3945846.52,0
259,PAYMENT,6006.31,C44264970,81135.0,75128.69,M1541514996,0.0,0.0,0
12,CASH_OUT,20798.93,C925403294,0.0,0.0,C811037326,1558774.19,1579573.12,0
610,CASH_OUT,633459.44,C1784566970,633459.44,0.0,C557127820,0.0,633459.44,1
40,CASH_OUT,93352.48,C270817747,10904.0,0.0,C2143832247,56814.53,150167.01,0
9,CASH_IN,315662.75,C837951975,9943.0,325605.75,C1137247436,146261.74,505897.57,0
322,CASH_IN,67179.34,C1361549100,7059315.24,7126494.58,C783448567,156656.59,89477.25,0
548,PAYMENT,12381.1,C955520551,829.0,0.0,M38521397,0.0,0.0,0
398,CASH_OUT,69734.45,C26224048,0.0,0.0,C2076443921,1852641.49,1922375.94,0
328,CASH_IN,286336.72,C1389526572,4358398.99,4644735.71,C566036559,23926997.89,23640661.17,0
138,CASH_OUT,183858.07,C668996524,0.0,0.0,C1445534846,6053356.84,6237214.91,0
231,CASH_OUT,426705.91,C1101189303,415.0,0.0,C1160034934,114226.3,540932.21,0
11,CASH_IN,322213.31,C1157661075,7345067.95,7667281.27,C1643855278,12937269.19,12615055.87,0
178,TRANSFER,763913.96,C604295926,763913.96,0.0,C1097845207,0.0,0.0,1
11,CASH_IN,138316.55,C1596107452,2421954.19,2560270.74,C1406193485,24300091.92,24524777.75,0
401,PAYMENT,29632.19,C1509679798,308066.65,278434.46,M1314107783,0.0,0.0,0
617,TRANSFER,621034.85,C1846853736,621034.85,0.0,C1061343039,0.0,0.0,1
210,CASH_OUT,83922.51,C2053867137,0.0,0.0,C266912553,11582538.04,11666460.54,0
160,CASH_OUT,32872.0,C1732777090,32872.0,0.0,C366537960,0.0,32872.0,1
187,CASH_OUT,142197.68,C508835066,0.0,0.0,C1646935728,282010.89,424208.56,0
373,CASH_OUT,494391.3,C221446129,778.0,0.0,C1601633908,0.0,494391.3,0
39,TRANSFER,225860.69,C1560899032,0.0,0.0,C322662467,2851891.48,3106807.5,0
308,PAYMENT,27812.83,C1507008785,0.0,0.0,M106558744,0.0,0.0,0
614,TRANSFER,4212682.84,C359671277,4212682.84,0.0,C1265391231,0.0,0.0,1
304,PAYMENT,695.78,C1941420668,0.0,0.0,M881620552,0.0,0.0,0
280,PAYMENT,10010.7,C797918331,0.0,0.0,M1630876921,0.0,0.0,0
332,CASH_OUT,379418.99,C261855702,0.0,0.0,C1424665722,9229240.09,9608659.09,0
681,CASH_OUT,105522.01,C1199817618,0.0,0.0,C1062990251,322771.37,428293.38,0
686,TRANSFER,406939.52,C1870477818,0.0,0.0,C1046176039,650619.37,1057558.9,0
257,PAYMENT,3876.36,C515971292,1394.47,0.0,M787187722,0.0,0.0,0
573,CASH_IN,264317.77,C1400532748,450350.75,714668.52,C832341487,329041.31,64723.54,0
307,PAYMENT,9774.55,C450631878,0.0,0.0,M19494779,0.0,0.0,0
132,CASH_OUT,768520.15,C1376162995,768520.15,0.0,C471258515,218306.5,986826.65,1
287,PAYMENT,42231.13,C308971449,20744.0,0.0,M1212638991,0.0,0.0,0
136,PAYMENT,2502.42,C759528496,135230.0,132727.58,M1248986721,0.0,0.0,0
163,TRANSFER,163294.35,C1008040846,163294.35,0.0,C1284780903,0.0,0.0,1
56,CASH_OUT,82767.31,C1447707746,82767.31,0.0,C133385139,401173.22,483940.53,1
587,CASH_OUT,197420.47,C459809849,102670.0,0.0,C724375061,0.0,197420.47,0
211,TRANSFER,214002.87,C383369214,40740.0,0.0,C1365664364,189884.21,403887.08,0
16,CASH_OUT,174457.56,C2024746697,0.0,0.0,C788140454,605636.36,780093.93,0
328,PAYMENT,27506.08,C1779791711,50271.0,22764.92,M75332220,0.0,0.0,0
20,PAYMENT,6462.71,C724029647,314699.69,308236.98,M632173646,0.0,0.0,0
234,CASH_OUT,450489.27,C745977891,450489.27,0.0,C1398681592,122047.64,572536.91,1
35,TRANSFER,1447024.89,C1717761017,583.0,0.0,C456070292,213141.84,1660166.73,0
66,CASH_OUT,2096634.43,C65342125,2096634.43,0.0,C282355647,183429.98,2280064.41,1
397,PAYMENT,25515.69,C1787504080,0.0,0.0,M1686040700,0.0,0.0,0
213,PAYMENT,216.52,C1696046785,20619.0,20402.48,M756215252,0.0,0.0,0
399,CASH_OUT,98515.18,C1283630104,3372.0,0.0,C275224662,315737.35,414252.53,0
351,CASH_IN,404212.59,C1999262177,17093630.66,17497843.25,C2139033252,678812.89,274600.31,0
329,CASH_OUT,138868.48,C981342199,21813.0,0.0,C772389988,0.0,138868.48,0
19,PAYMENT,5656.33,C496428260,167393.0,161736.67,M560449889,0.0,0.0,0
134,CASH_IN,77318.35,C23435836,4685631.77,4762950.12,C852979012,129773.98,52455.63,0
396,PAYMENT,16311.67,C1781313381,0.0,0.0,M1228172350,0.0,0.0,0
254,TRANSFER,515355.72,C1936868554,274126.46,0.0,C1063092894,689496.05,1204851.77,0
357,CASH_IN,25160.71,C228850545,7032.0,32192.71,C1288512746,0.0,0.0,0
235,CASH_OUT,90477.44,C1267258,10146.0,0.0,C606486785,1656123.97,1746601.41,0
180,TRANSFER,145682.82,C1839612752,464895.53,319212.71,C805571527,170379.76,316062.58,0
250,CASH_OUT,97851.37,C1312413460,0.0,0.0,C484234058,2957793.43,3055644.8,0
206,PAYMENT,1942.85,C1987523295,0.0,0.0,M1516717756,0.0,0.0,0
500,TRANSFER,21832.43,C2086908548,21832.43,0.0,C418623592,0.0,0.0,1
380,CASH_OUT,95666.11,C1469412037,180.0,0.0,C392262856,0.0,95666.11,0
427,CASH_OUT,4892226.25,C505947737,4892226.25,0.0,C1438698807,54435.33,4946661.58,1
255,CASH_IN,160119.66,C687029215,670956.92,831076.58,C104975593,1440650.79,1280531.13,0
401,PAYMENT,6603.04,C1603894082,0.0,0.0,M382593784,0.0,0.0,0
235,PAYMENT,6330.13,C1618701244,25477.29,19147.16,M1178866844,0.0,0.0,0
326,CASH_OUT,439345.83,C249314696,0.0,0.0,C1584684478,626094.11,1065439.94,0
139,PAYMENT,10057.7,C1957426028,10881.0,823.3,M816104234,0.0,0.0,0
208,PAYMENT,2522.04,C752085320,30052.0,27529.96,M184109389,0.0,0.0,0
379,CASH_OUT,39383.87,C1199689149,10525.0,0.0,C1781986957,109442.49,528140.65,0
130,CASH_OUT,125908.56,C1552495942,0.0,0.0,C602280349,516877.55,642786.11,0
139,PAYMENT,1632.21,C1140965599,0.0,0.0,M28036835,0.0,0.0,0
351,PAYMENT,10855.05,C552075307,309805.86,298950.81,M1496715262,0.0,0.0,0
8,PAYMENT,11242.65,C1448865154,102376.0,91133.35,M1090343725,0.0,0.0,0
163,CASH_OUT,279055.2,C1450791204,162005.66,0.0,C1004858230,594061.62,873116.82,0
249,PAYMENT,38575.02,C11609311,2326.13,0.0,M180462448,0.0,0.0,0
228,CASH_OUT,38753.6,C287774935,0.0,0.0,C617087315,499120.43,537874.03,0
305,CASH_OUT,80765.89,C1657221220,0.0,0.0,C1211018239,373722.66,454488.56,0
403,PAYMENT,768.39,C2074788289,398.0,0.0,M939280360,0.0,0.0,0
558,CASH_OUT,209829.57,C982640738,209829.57,0.0,C982569135,0.0,209829.57,1
203,DEBIT,3824.41,C1112857710,0.0,0.0,C390741610,6071837.05,6075661.46,0
358,PAYMENT,19847.1,C1470285613,1702.0,0.0,M730002322,0.0,0.0,0
18,CASH_OUT,150824.81,C1515494673,0.0,0.0,C610556152,177544.76,14094.55,0
379,CASH_IN,42293.83,C76043293,24593116.72,24635410.55,C109085084,959154.48,916860.65,0
328,TRANSFER,474467.2,C1221668517,474467.2,0.0,C2134508873,0.0,0.0,1
237,CASH_IN,37211.61,C1246424012,26702.0,63913.61,C24451978,0.0,0.0,0
332,CASH_IN,137441.85,C2064291161,36731.0,174172.85,C1166194514,771261.55,633819.7,0
20,PAYMENT,8350.69,C544126809,6959.0,0.0,M1470128314,0.0,0.0,0
375,PAYMENT,3746.68,C1060447367,146790.0,143043.32,M1484930236,0.0,0.0,0
178,PAYMENT,3930.16,C155552004,0.0,0.0,M656667363,0.0,0.0,0
351,CASH_IN,218664.59,C139499536,2425600.09,2644264.68,C2050842299,298589.14,79924.55,0
386,TRANSFER,1975271.77,C109944074,1975271.77,0.0,C88316037,0.0,0.0,1
234,CASH_OUT,79672.22,C1115036534,51779.0,0.0,C2043913497,0.0,79672.22,0
284,CASH_IN,1658.57,C825593489,20327.0,21985.57,C1186291485,0.0,0.0,0
715,CASH_OUT,147560.16,C943652011,37227.0,0.0,C1621208740,0.0,147560.16,0
446,TRANSFER,311487.14,C1728700338,311487.14,0.0,C1489729408,0.0,0.0,1
163,PAYMENT,7805.84,C1547874952,0.0,0.0,M63204129,0.0,0.0,0
210,PAYMENT,366.32,C797694064,0.0,0.0,M1717177891,0.0,0.0,0
149,CASH_OUT,661558.27,C2133707942,661558.27,0.0,C129318396,3050611.21,3712169.48,1
206,TRANSFER,337443.22,C190098143,0.0,0.0,C1176885157,1345281.42,1682724.64,0
327,PAYMENT,12177.51,C2113024043,0.0,0.0,M279069852,0.0,0.0,0
18,CASH_OUT,129754.54,C214501934,10077.0,0.0,C2091358494,3148068.41,3227682.35,0
298,CASH_OUT,174197.78,C1037303012,0.0,0.0,C1937217617,1595381.68,1769579.46,0
259,PAYMENT,3428.99,C1773562267,204056.49,200627.5,M1835946439,0.0,0.0,0
129,CASH_IN,212429.82,C579726893,27306.0,239735.82,C733713373,0.0,0.0,0
44,CASH_OUT,24822.19,C9422046,0.0,0.0,C2140542985,113356.93,138179.12,0
279,TRANSFER,601222.02,C1700633166,601222.02,0.0,C1334915379,0.0,0.0,1
402,CASH_OUT,34465.68,C2106017834,77054.0,42588.32,C1437408423,123033.38,157499.06,0
212,CASH_OUT,113406.9,C19985923,0.0,0.0,C1937231662,2394302.2,2507709.1,0
715,CASH_OUT,212028.15,C1792802617,212028.15,0.0,C350073748,3708381.73,3920409.88,1
226,PAYMENT,27308.52,C1057926560,202953.45,175644.93,M1825832886,0.0,0.0,0
211,CASH_OUT,22682.81,C398637706,280.0,0.0,C1834165479,146250.77,168933.58,0
308,TRANSFER,178180.03,C1660149357,178180.03,0.0,C1502223655,0.0,0.0,1
164,CASH_IN,274729.61,C1012934505,813122.0,1087851.61,C2050092309,5105.35,0.0,0
204,PAYMENT,3586.34,C1647388294,396780.52,393194.19,M1766886060,0.0,0.0,0
239,DEBIT,6663.43,C547947951,105234.0,98570.57,C243598578,314152.66,320816.09,0
46,CASH_OUT,71372.0,C313736303,71372.0,0.0,C935310781,613464.04,684836.04,1
19,CASH_OUT,180120.86,C1977415733,39910.0,0.0,C508028482,0.0,180120.86,0
337,TRANSFER,46073.56,C1249464392,46073.56,0.0,C878074974,0.0,0.0,1
13,CASH_OUT,142949.9,C409453678,0.0,0.0,C1437735369,547725.27,484559.09,0
232,CASH_OUT,306152.47,C815981593,0.0,0.0,C1554651068,405225.7,711378.17,0
33,CASH_IN,134356.32,C1444271565,20079.0,154435.32,C844349187,7883701.69,8094118.96,0
228,PAYMENT,36737.08,C345319061,30566.0,0.0,M2013117526,0.0,0.0,0
297,CASH_OUT,184630.12,C1212445850,401499.0,216868.88,C1806754054,31536.22,216166.35,0
299,CASH_OUT,286699.55,C1551838403,494008.37,207308.81,C171153511,1133611.07,1420310.62,0
232,CASH_IN,50998.02,C1686292452,17937354.08,17988352.09,C1176517073,81975.39,30977.38,0
155,CASH_IN,309384.13,C813457808,2945255.22,3254639.35,C117700839,1834453.11,1525068.97,0
261,CASH_OUT,77829.89,C787328384,0.0,0.0,C800554100,242585.76,320415.65,0
584,TRANSFER,777448.03,C86523774,777448.03,0.0,C262188325,0.0,0.0,1
139,CASH_OUT,50872.33,C164749486,0.0,0.0,C536959274,1951502.6,2002374.92,0
332,CASH_IN,273684.4,C867106110,49570.0,323254.4,C919494387,0.0,0.0,0
398,CASH_IN,75190.02,C506616971,7566.0,82756.02,C2131083014,566515.68,491325.66,0
164,CASH_IN,45095.78,C1183955401,2311084.01,2356179.79,C40695361,4286359.6,4241263.83,0
19,PAYMENT,10823.24,C568531742,824404.0,813580.76,M266690981,0.0,0.0,0
13,PAYMENT,10568.36,C637585388,10733.0,164.64,M2121345927,0.0,0.0,0
697,TRANSFER,378623.9,C1584281400,378623.9,0.0,C62581304,0.0,0.0,1
20,DEBIT,9622.93,C836873387,31132.0,21509.07,C1603768583,165154.87,174777.8,0
255,CASH_OUT,198565.25,C1615077550,16538.0,0.0,C166679275,30731557.42,30930122.67,0
164,CASH_IN,114864.09,C565601276,5538979.39,5653843.47,C781849797,1659648.51,1544784.42,0
20,CASH_OUT,282576.98,C779788009,0.0,0.0,C575853652,10545619.36,10828196.34,0
